model_id,model_name
0,Qwen/Qwen2.5-14B
1,Qwen/Qwen2.5-32B
2,Qwen/Qwen2.5-7B
3,Qwen/Qwen2.5-Math-1.5B
4,Qwen/Qwen2.5-Math-7B
5,Qwen/Qwen3-0.6B-Base
6,Qwen/Qwen3-1.7B-Base
7,Qwen/Qwen3-14B-Base
8,Qwen/Qwen3-4B-Base
9,Qwen/Qwen3-8B-Base
10,deepseek-ai/deepseek-math-7b-base
11,google/gemma-2-27b
12,google/gemma-2-2b
13,google/gemma-2-9b
14,meta-llama/Llama-3.1-8B
15,meta-llama/Llama-3.2-1B
16,meta-llama/Llama-3.2-3B
17,mistralai/Mistral-7B-v0.3
18,mistralai/Mistral-Nemo-Base-2407
19,tiiuae/Falcon3-10B-Base
20,tiiuae/Falcon3-1B-Base
21,tiiuae/Falcon3-3B-Base
22,tiiuae/Falcon3-7B-Base
